Zip,YEAR,INCOME,NUMBER
92024,2010,"$100,000 to $124,999",2041
92024,2010,"$125,000 to $149,999",1616
92024,2010,"$150,000 to $199,999",2374
92024,2010,"$200,000 or more",3102
92025,2010,"Less than $15,000",1794
92025,2010,"$15,000 to $29,999",2485
92025,2010,"$30,000 to $44,999",2472
92025,2010,"$45,000 to $59,999",1941
92025,2010,"$60,000 to $74,999",1266
92025,2010,"$75,000 to $99,999",1259
92025,2010,"$100,000 to $124,999",1116
92025,2010,"$125,000 to $149,999",673
92025,2010,"$150,000 to $199,999",732
92025,2010,"$200,000 or more",707
92026,2010,"Less than $15,000",1590
92026,2010,"$15,000 to $29,999",2419
92026,2010,"$30,000 to $44,999",2720
92026,2010,"$45,000 to $59,999",2599
92026,2010,"$60,000 to $74,999",2014
92026,2010,"$75,000 to $99,999",2240
92026,2010,"$100,000 to $124,999",1585
92026,2010,"$125,000 to $149,999",1083
92026,2010,"$150,000 to $199,999",814
92026,2010,"$200,000 or more",637
92027,2010,"Less than $15,000",1460
92027,2010,"$15,000 to $29,999",2376
92027,2010,"$30,000 to $44,999",2409
92027,2010,"$45,000 to $59,999",1947
92027,2010,"$60,000 to $74,999",1768
92027,2010,"$75,000 to $99,999",2285
92027,2010,"$100,000 to $124,999",1371
92027,2010,"$125,000 to $149,999",877
92027,2010,"$150,000 to $199,999",922
92027,2010,"$200,000 or more",665
92028,2010,"Less than $15,000",1101
92028,2010,"$15,000 to $29,999",2073
92028,2010,"$30,000 to $44,999",2287
92028,2010,"$45,000 to $59,999",2002
92028,2010,"$60,000 to $74,999",1631
92028,2010,"$75,000 to $99,999",2297
92028,2010,"$100,000 to $124,999",1500
92028,2010,"$125,000 to $149,999",1051
92028,2010,"$150,000 to $199,999",995
92028,2010,"$200,000 or more",1214
92029,2010,"Less than $15,000",436
92029,2010,"$15,000 to $29,999",800
92029,2010,"$30,000 to $44,999",818
92029,2010,"$45,000 to $59,999",818
92029,2010,"$60,000 to $74,999",696
92029,2010,"$75,000 to $99,999",702
92029,2010,"$100,000 to $124,999",725
92029,2010,"$125,000 to $149,999",634
92029,2010,"$150,000 to $199,999",543
92029,2010,"$200,000 or more",781
92036,2010,"Less than $15,000",180
92036,2010,"$15,000 to $29,999",232
92036,2010,"$30,000 to $44,999",148
92036,2010,"$45,000 to $59,999",269
92036,2010,"$60,000 to $74,999",196
92036,2010,"$75,000 to $99,999",155
92036,2010,"$100,000 to $124,999",179
92036,2010,"$125,000 to $149,999",64
92036,2010,"$150,000 to $199,999",58
92036,2010,"$200,000 or more",49
92037,2010,"Less than $15,000",1619
92037,2010,"$15,000 to $29,999",1266
92037,2010,"$30,000 to $44,999",1627
92037,2010,"$45,000 to $59,999",1475
92037,2010,"$60,000 to $74,999",1273
92037,2010,"$75,000 to $99,999",2001
92037,2010,"$100,000 to $124,999",1703
92037,2010,"$125,000 to $149,999",1299
92037,2010,"$150,000 to $199,999",1573
92037,2010,"$200,000 or more",3739
92040,2010,"Less than $15,000",909
92040,2010,"$15,000 to $29,999",1630
92040,2010,"$30,000 to $44,999",2029
92040,2010,"$45,000 to $59,999",2041
92040,2010,"$60,000 to $74,999",1456
92040,2010,"$75,000 to $99,999",2415
92040,2010,"$100,000 to $124,999",1703
92040,2010,"$125,000 to $149,999",855
92040,2010,"$150,000 to $199,999",968
92040,2010,"$200,000 or more",484
92054,2010,"Less than $15,000",1737
92054,2010,"$15,000 to $29,999",2225
92054,2010,"$30,000 to $44,999",2301
92054,2010,"$45,000 to $59,999",1877
92054,2010,"$60,000 to $74,999",1790
92054,2010,"$75,000 to $99,999",1842
92054,2010,"$100,000 to $124,999",960
92054,2010,"$125,000 to $149,999",754
92054,2010,"$150,000 to $199,999",543
92054,2010,"$200,000 or more",502
92055,2010,"Less than $15,000",214
92055,2010,"$15,000 to $29,999",963
92055,2010,"$30,000 to $44,999",1130
92055,2010,"$45,000 to $59,999",1102
92055,2010,"$60,000 to $74,999",703
92055,2010,"$75,000 to $99,999",417
92055,2010,"$100,000 to $124,999",149
92055,2010,"$125,000 to $149,999",71
92055,2010,"$150,000 to $199,999",109
92055,2010,"$200,000 or more",0
92056,2010,"Less than $15,000",1334
92056,2010,"$15,000 to $29,999",2559
92056,2010,"$30,000 to $44,999",2435
92056,2010,"$45,000 to $59,999",2172
92056,2010,"$60,000 to $74,999",2114
92056,2010,"$75,000 to $99,999",3379
92056,2010,"$100,000 to $124,999",1955
92056,2010,"$125,000 to $149,999",1249
92056,2010,"$150,000 to $199,999",1154
92056,2010,"$200,000 or more",720
92057,2010,"Less than $15,000",1005
92057,2010,"$15,000 to $29,999",1905
92057,2010,"$30,000 to $44,999",2224
92057,2010,"$45,000 to $59,999",2327
92057,2010,"$60,000 to $74,999",2308
92057,2010,"$75,000 to $99,999",2991
92057,2010,"$100,000 to $124,999",1956
92057,2010,"$125,000 to $149,999",1280
92057,2010,"$150,000 to $199,999",1159
92057,2010,"$200,000 or more",684
92058,2010,"Less than $15,000",848
92058,2010,"$15,000 to $29,999",1234
92058,2010,"$30,000 to $44,999",1160
92058,2010,"$45,000 to $59,999",1018
92058,2010,"$60,000 to $74,999",652
92058,2010,"$75,000 to $99,999",1004
92058,2010,"$100,000 to $124,999",846
92058,2010,"$125,000 to $149,999",588
92058,2010,"$150,000 to $199,999",354
92058,2010,"$200,000 or more",151
92059,2010,"Less than $15,000",23
92059,2010,"$15,000 to $29,999",55
92059,2010,"$30,000 to $44,999",53
92059,2010,"$45,000 to $59,999",112
92059,2010,"$60,000 to $74,999",37
92059,2010,"$75,000 to $99,999",93
92059,2010,"$100,000 to $124,999",55
92059,2010,"$125,000 to $149,999",50
92059,2010,"$150,000 to $199,999",12
92059,2010,"$200,000 or more",6
92060,2010,"Less than $15,000",38
92060,2010,"$15,000 to $29,999",33
92060,2010,"$30,000 to $44,999",46
92060,2010,"$45,000 to $59,999",44
92060,2010,"$60,000 to $74,999",30
92060,2010,"$75,000 to $99,999",22
92060,2010,"$100,000 to $124,999",18
92060,2010,"$125,000 to $149,999",8
92060,2010,"$150,000 to $199,999",7
92060,2010,"$200,000 or more",10
92061,2010,"Less than $15,000",42
92061,2010,"$15,000 to $29,999",85
92061,2010,"$30,000 to $44,999",84
92061,2010,"$45,000 to $59,999",130
92061,2010,"$60,000 to $74,999",82
92061,2010,"$75,000 to $99,999",150
92061,2010,"$100,000 to $124,999",97
92061,2010,"$125,000 to $149,999",86
92061,2010,"$150,000 to $199,999",37
92061,2010,"$200,000 or more",43
92064,2010,"Less than $15,000",823
92064,2010,"$15,000 to $29,999",972
92064,2010,"$30,000 to $44,999",1138
92064,2010,"$45,000 to $59,999",1300
92064,2010,"$60,000 to $74,999",1630
92064,2010,"$75,000 to $99,999",2532
92064,2010,"$100,000 to $124,999",1973
92064,2010,"$125,000 to $149,999",1354
92064,2010,"$150,000 to $199,999",2447
92064,2010,"$200,000 or more",1992
92065,2010,"Less than $15,000",691
92065,2010,"$15,000 to $29,999",1026
92065,2010,"$30,000 to $44,999",1516
92065,2010,"$45,000 to $59,999",1341
92065,2010,"$60,000 to $74,999",993
92065,2010,"$75,000 to $99,999",1725
92065,2010,"$100,000 to $124,999",1488
92065,2010,"$125,000 to $149,999",1025
92065,2010,"$150,000 to $199,999",1306
92065,2010,"$200,000 or more",767
92066,2010,"Less than $15,000",33
92066,2010,"$15,000 to $29,999",23
92066,2010,"$30,000 to $44,999",36
92066,2010,"$45,000 to $59,999",33
92066,2010,"$60,000 to $74,999",22
92066,2010,"$75,000 to $99,999",9
92066,2010,"$100,000 to $124,999",9
92066,2010,"$125,000 to $149,999",0
92066,2010,"$150,000 to $199,999",4
92066,2010,"$200,000 or more",7
92067,2010,"Less than $15,000",275
92067,2010,"$15,000 to $29,999",249
92067,2010,"$30,000 to $44,999",142
92067,2010,"$45,000 to $59,999",247
92067,2010,"$60,000 to $74,999",82
92067,2010,"$75,000 to $99,999",190
92067,2010,"$100,000 to $124,999",365
92067,2010,"$125,000 to $149,999",236
92067,2010,"$150,000 to $199,999",322
92067,2010,"$200,000 or more",1129
92069,2010,"Less than $15,000",1032
92069,2010,"$15,000 to $29,999",2126
92069,2010,"$30,000 to $44,999",2360
92069,2010,"$45,000 to $59,999",1783
92069,2010,"$60,000 to $74,999",1609
92069,2010,"$75,000 to $99,999",1583
92069,2010,"$100,000 to $124,999",1245
92069,2010,"$125,000 to $149,999",783
92069,2010,"$150,000 to $199,999",767
92069,2010,"$200,000 or more",633
92070,2010,"Less than $15,000",50
92070,2010,"$15,000 to $29,999",44
92070,2010,"$30,000 to $44,999",52
92070,2010,"$45,000 to $59,999",75
92070,2010,"$60,000 to $74,999",41
92070,2010,"$75,000 to $99,999",22
92070,2010,"$100,000 to $124,999",30
92070,2010,"$125,000 to $149,999",7
92070,2010,"$150,000 to $199,999",11
92070,2010,"$200,000 or more",12
92071,2010,"Less than $15,000",1167
92071,2010,"$15,000 to $29,999",2066
92071,2010,"$30,000 to $44,999",2424
92071,2010,"$45,000 to $59,999",2364
92071,2010,"$60,000 to $74,999",2384
92071,2010,"$75,000 to $99,999",3243
92071,2010,"$100,000 to $124,999",2519
92071,2010,"$125,000 to $149,999",1565
92071,2010,"$150,000 to $199,999",1159
92071,2010,"$200,000 or more",351
92075,2010,"Less than $15,000",443
92075,2010,"$15,000 to $29,999",436
92075,2010,"$30,000 to $44,999",509
92075,2010,"$45,000 to $59,999",429
92075,2010,"$60,000 to $74,999",504
92075,2010,"$75,000 to $99,999",618
92075,2010,"$100,000 to $124,999",534
92075,2010,"$125,000 to $149,999",419
92075,2010,"$150,000 to $199,999",520
92075,2010,"$200,000 or more",811
92078,2010,"Less than $15,000",1275
92078,2010,"$15,000 to $29,999",2101
92078,2010,"$30,000 to $44,999",2342
92078,2010,"$45,000 to $59,999",1796
92078,2010,"$60,000 to $74,999",1300
92078,2010,"$75,000 to $99,999",1807
92078,2010,"$100,000 to $124,999",1339
92078,2010,"$125,000 to $149,999",1045
92078,2010,"$150,000 to $199,999",1194
92078,2010,"$200,000 or more",1051
92081,2010,"Less than $15,000",643
92081,2010,"$15,000 to $29,999",1220
92081,2010,"$30,000 to $44,999",1679
92081,2010,"$45,000 to $59,999",1428
92081,2010,"$60,000 to $74,999",1113
92081,2010,"$75,000 to $99,999",1587
92081,2010,"$100,000 to $124,999",966
92081,2010,"$125,000 to $149,999",755
92081,2010,"$150,000 to $199,999",519
92081,2010,"$200,000 or more",375
92082,2010,"Less than $15,000",222
92082,2010,"$15,000 to $29,999",530
92082,2010,"$30,000 to $44,999",605
92082,2010,"$45,000 to $59,999",851
92082,2010,"$60,000 to $74,999",836
92082,2010,"$75,000 to $99,999",856
92082,2010,"$100,000 to $124,999",716
92082,2010,"$125,000 to $149,999",542
92082,2010,"$150,000 to $199,999",385
92082,2010,"$200,000 or more",528
92083,2010,"Less than $15,000",564
92083,2010,"$15,000 to $29,999",1570
92083,2010,"$30,000 to $44,999",1843
92083,2010,"$45,000 to $59,999",1762
92083,2010,"$60,000 to $74,999",996
92083,2010,"$75,000 to $99,999",1584
92083,2010,"$100,000 to $124,999",943
92083,2010,"$125,000 to $149,999",591
92083,2010,"$150,000 to $199,999",376
92083,2010,"$200,000 or more",175
92084,2010,"Less than $15,000",1183
92084,2010,"$15,000 to $29,999",2268
92084,2010,"$30,000 to $44,999",2962
92084,2010,"$45,000 to $59,999",1998
92084,2010,"$60,000 to $74,999",1541
92084,2010,"$75,000 to $99,999",1571
92084,2010,"$100,000 to $124,999",1166
92084,2010,"$125,000 to $149,999",704
92084,2010,"$150,000 to $199,999",818
92084,2010,"$200,000 or more",557
